Name,Coefficient
Intercept,3.904
rabatt_indexiert,0.0
monat_monat_10,0.026
monat_monat_11,0.003
monat_monat_12,0.048
monat_monat_2,0.023
monat_monat_3,0.035
monat_monat_4,0.003
monat_monat_5,-0.009
monat_monat_6,-0.001
monat_monat_7,-0.0
monat_monat_8,-0.031
monat_monat_9,-0.02
kohorte_monat_10,0.031
kohorte_monat_11,0.031
kohorte_monat_12,-0.029
kohorte_monat_2,-0.02
kohorte_monat_3,0.003
kohorte_monat_4,0.026
kohorte_monat_5,0.048
kohorte_monat_6,-0.006
kohorte_monat_7,0.02
kohorte_monat_8,0.272
kohorte_monat_9,0.204
monat_jahreszeit_Herbst,0.009
monat_jahreszeit_Sommer,-0.032
monat_jahreszeit_Winter,-0.006
