Name,Coefficient
Intercept,4.021
erster_monat_kohorte_fg,0.726
monate_seit_einfuehrung_programm_kohorte,-0.01
monat_monat_10,0.006
monat_monat_11,0.026
monat_monat_12,0.051
monat_monat_2,0.028
monat_monat_3,0.039
monat_monat_4,0.017
monat_monat_5,0.003
monat_monat_6,0.004
monat_monat_7,-0.008
monat_monat_8,-0.05
monat_monat_9,-0.037
kohorte_monat_10,0.033
kohorte_monat_11,-0.068
kohorte_monat_12,-0.028
kohorte_monat_2,-0.01
kohorte_monat_3,-0.045
kohorte_monat_4,-0.012
kohorte_monat_5,0.016
kohorte_monat_6,-0.057
kohorte_monat_7,-0.054
kohorte_monat_8,0.139
kohorte_monat_9,0.09
kohorte_jahreszeit_Herbst,0.054
kohorte_jahreszeit_Sommer,0.028
kohorte_jahreszeit_Winter,-0.04
