Name,Coefficient
Intercept,3.989
erster_monat_kohorte_fg,0.726
monate_seit_einfuehrung_programm_kohorte,-0.01
monat_monat_10,0.005
monat_monat_11,0.026
monat_monat_12,0.051
monat_monat_2,0.028
monat_monat_3,0.031
monat_monat_4,0.009
monat_monat_5,-0.005
monat_monat_6,0.015
monat_monat_7,0.003
monat_monat_8,-0.038
monat_monat_9,-0.038
kohorte_monat_10,0.127
kohorte_monat_11,0.026
kohorte_monat_12,-0.028
kohorte_monat_2,-0.01
kohorte_monat_3,-0.005
kohorte_monat_4,0.028
kohorte_monat_5,0.056
kohorte_monat_6,0.011
kohorte_monat_7,0.014
kohorte_monat_8,0.207
kohorte_monat_9,0.184
monat_jahreszeit_Herbst,-0.007
monat_jahreszeit_Sommer,-0.02
monat_jahreszeit_Winter,-0.008
