Name,Coefficient
Intercept,56.967
monate_seit_einfuehrung_programm_kohorte,-0.293
rabatt_indexiert,0.01
monat_monat_1,-0.589
monat_monat_10,1.98
monat_monat_11,0.597
monat_monat_12,2.023
monat_monat_2,0.829
monat_monat_3,1.916
monat_monat_4,0.192
monat_monat_5,-0.472
monat_monat_6,-1.572
monat_monat_7,-1.439
monat_monat_8,-2.688
monat_monat_9,-0.777
kohorte_monat_1,-0.417
kohorte_monat_10,-1.874
kohorte_monat_11,-3.908
kohorte_monat_12,-1.896
kohorte_monat_2,-0.849
kohorte_monat_3,-1.968
kohorte_monat_4,-0.131
kohorte_monat_5,1.277
kohorte_monat_6,-5.072
kohorte_monat_7,-3.07
kohorte_monat_8,10.522
kohorte_monat_9,7.385
kohorte_jahreszeit_Frühling,-0.821
kohorte_jahreszeit_Herbst,1.604
kohorte_jahreszeit_Sommer,2.381
kohorte_jahreszeit_Winter,-3.163
