Name,Coefficient
Intercept,3.848
rabatt_indexiert,0.032
monat_monat_10,0.022
monat_monat_11,0.005
monat_monat_12,0.047
monat_monat_2,0.015
monat_monat_3,0.034
monat_monat_4,0.001
monat_monat_5,-0.007
monat_monat_6,-0.001
monat_monat_7,-0.002
monat_monat_8,-0.028
monat_monat_9,-0.018
kohorte_monat_10,0.013
kohorte_monat_11,-0.07
kohorte_monat_12,-0.033
kohorte_monat_2,-0.021
kohorte_monat_3,-0.038
kohorte_monat_4,-0.015
kohorte_monat_5,0.008
kohorte_monat_6,-0.097
kohorte_monat_7,-0.071
kohorte_monat_8,0.214
kohorte_monat_9,0.102
monat_jahreszeit_Herbst,0.008
monat_jahreszeit_Sommer,-0.031
monat_jahreszeit_Winter,-0.006
kohorte_jahreszeit_Herbst,0.046
kohorte_jahreszeit_Sommer,0.046
kohorte_jahreszeit_Winter,-0.048
